ds,yhat,State
2023-12-21,824202149.0692024,California
2023-12-22,849605232.0517708,California
2023-12-23,890060302.7705195,California
2023-12-24,859634383.8755457,California
2023-12-25,868211605.9670353,California
2023-12-26,856599851.7966676,California
2023-12-27,937878217.0056432,California
2023-12-28,831950892.5377166,California
2023-12-29,855701572.0632328,California
2023-12-30,894287861.4933656,California
2023-12-31,861831550.2444832,California
2024-01-01,868276198.4197358,California
2024-01-02,854491989.6007477,California
2024-01-03,933621319.8128077,California
2024-01-04,825630783.7543389,California
2024-01-05,847463718.2316091,California
2024-01-06,884332835.4372959,California
2024-01-07,850408858.6293958,California
2024-01-08,855676663.0597783,California
2024-01-09,841038914.8538408,California
2024-01-10,919660714.5044372,California
2024-01-11,811520934.1776568,California
2024-01-12,833564428.063341,California
2024-01-13,870994658.3136263,California
2024-01-14,837962649.354526,California
2024-01-15,844423763.9358188,California
2024-01-16,831242274.7379352,California
2024-01-17,911537210.419249,California
2024-01-18,805235129.4720098,California
2024-01-19,829223958.2644697,California
2024-01-20,868647387.1935492,California
2024-01-21,837595684.7779028,California
2024-01-22,845964367.3072221,California
2024-01-23,834560640.9688295,California
2024-01-24,916451038.9713057,California
2024-01-25,811515852.8365749,California
2024-01-26,836604443.8447021,California
2024-01-27,876830883.4281476,California
2024-01-28,846265743.8516624,California
2023-12-04,175518155.4921666,Colorado
2023-12-05,173887793.01044613,Colorado
2023-12-06,188490876.36816508,Colorado
2023-12-07,168104102.40825224,Colorado
2023-12-08,173151898.22689986,Colorado
2023-12-09,178968209.8995023,Colorado
2023-12-10,175115552.56624115,Colorado
2023-12-11,176833445.2861266,Colorado
2023-12-12,175553367.6451865,Colorado
2023-12-13,190489049.5004054,Colorado
2023-12-14,170405171.18955278,Colorado
2023-12-15,175714852.59987143,Colorado
2023-12-16,181741795.69896743,Colorado
2023-12-17,178039657.5208217,Colorado
2023-12-18,179840767.40395162,Colorado
2023-12-19,178571317.0469511,Colorado
2023-12-20,193441827.77484998,Colorado
2023-12-21,173215966.995658,Colorado
2023-12-22,178308088.68541348,Colorado
2023-12-23,184045360.8466744,Colorado
2023-12-24,179987057.2253557,Colorado
2023-12-25,181373129.3121386,Colorado
2023-12-26,179639191.30356336,Colorado
2023-12-27,194006728.28096205,Colorado
2023-12-28,173251607.0436555,Colorado
2023-12-29,177801273.26246327,Colorado
2023-12-30,182996507.84822303,Colorado
2023-12-31,178410330.5944195,Colorado
2024-01-01,179296178.41904518,Colorado
2024-01-02,177102502.36164862,Colorado
2024-01-03,191062604.93708467,Colorado
2024-01-04,169962808.14795578,Colorado
2024-01-05,174239345.9005313,Colorado
2024-01-06,179239862.7114993,Colorado
2024-01-07,174542114.41163385,Colorado
2024-01-08,175402004.24954894,Colorado
2024-01-09,173268102.87723893,Colorado
2024-01-10,187371476.26886082,Colorado
2024-01-11,166493912.37106335,Colorado
2024-01-12,171064938.75545627,Colorado
2024-01-13,176423509.75399682,Colorado
2024-01-14,172136953.54063913,Colorado
2024-01-15,173449305.6263943,Colorado
2024-01-16,171796168.824359,Colorado
2024-01-17,186394914.0531638,Colorado
2024-01-18,166013302.11953175,Colorado
2024-01-19,171066907.41869986,Colorado
2024-01-20,176881210.35377175,Colorado
2024-01-21,173010937.24504143,Colorado
2024-01-22,174688762.82574204,Colorado
2024-01-23,173340504.6598624,Colorado
2024-01-24,188175614.09032518,Colorado
2024-01-25,167956035.33494487,Colorado
2024-01-26,173093806.63621983,Colorado
2024-01-27,178913264.92256317,Colorado
2024-01-28,174970429.25894976,Colorado
2023-12-04,91331812.69725855,Connecticut
2023-12-05,89095971.71770597,Connecticut
2023-12-06,95375225.82278402,Connecticut
2023-12-07,85861634.14653318,Connecticut
2023-12-08,87962036.707402,Connecticut
2023-12-09,90662713.66739053,Connecticut
2023-12-10,88438974.52646445,Connecticut
2023-12-11,90978449.8267863,Connecticut
2023-12-12,89137087.26189667,Connecticut
2023-12-13,95824855.64510943,Connecticut
2023-12-14,86720812.90776551,Connecticut
2023-12-15,89218770.12688419,Connecticut
2023-12-16,92292329.36207874,Connecticut
2023-12-17,90404839.75753559,Connecticut
2023-12-18,93233034.04091728,Connecticut
2023-12-19,91623337.54516603,Connecticut
2023-12-20,98477844.38621187,Connecticut
2023-12-21,89469609.34288384,Connecticut
2023-12-22,91988481.22610512,Connecticut
2023-12-23,95006250.88724332,Connecticut
2023-12-24,92986655.40316296,Connecticut
2023-12-25,95608999.43790792,Connecticut
2023-12-26,93724386.59117529,Connecticut
2023-12-27,100241557.8369552,Connecticut
2023-12-28,90841989.78158908,Connecticut
2023-12-29,92925484.29513888,Connecticut
2023-12-30,95475029.84870623,Connecticut
2023-12-31,92966484.47888318,Connecticut
2024-01-01,95091850.72503905,Connecticut
2024-01-02,92715145.37868339,Connecticut
2024-01-03,98757871.57749718,Connecticut
2024-01-04,88913756.49668464,Connecticut
2024-01-05,90593996.50993498,Connecticut
2024-01-06,92791799.96833436,Connecticut
2024-01-07,89991786.5523145,Connecticut
2024-01-08,91893021.53845091,Connecticut
2024-01-09,89364694.55042186,Connecticut
2024-01-10,95331455.6042324,Connecticut
2024-01-11,85488075.3775961,Connecticut
2024-01-12,87244673.55299003,Connecticut
2024-01-13,89591305.60952316,Connecticut
2024-01-14,87007465.49541447,Connecticut
2024-01-15,89185279.29768439,Connecticut
2024-01-16,86985394.65403536,Connecticut
2024-01-17,93322572.43411073,Connecticut
2024-01-18,83880640.06818621,Connecticut
2024-01-19,86058041.77219586,Connecticut
2024-01-20,88832766.64704005,Connecticut
2024-01-21,86672202.16419926,Connecticut
2024-01-22,89256677.99855131,Connecticut
2024-01-23,87435694.85582708,Connecticut
2024-01-24,94113835.07407473,Connecticut
2024-01-25,84966005.25593822,Connecticut
2024-01-26,87383237.94981465,Connecticut
2024-01-27,90337826.24816456,Connecticut
2024-01-28,88293333.0297651,Connecticut
2023-12-04,739623366.8420583,Florida
2023-12-05,730766802.8565371,Florida
2023-12-06,781764476.9609399,Florida
2023-12-07,690409464.4749613,Florida
2023-12-08,720268139.2307913,Florida
2023-12-09,738424980.1681856,Florida
2023-12-10,730334512.3784897,Florida
2023-12-11,732522440.3965113,Florida
2023-12-12,726657680.5338707,Florida
2023-12-13,780942742.5955747,Florida
2023-12-14,693081247.6935518,Florida
2023-12-15,726543890.5437921,Florida
2023-12-16,748315912.273228,Florida
2023-12-17,743751801.6994828,Florida
2023-12-18,749279206.1015884,Florida
2023-12-19,746473681.2058213,Florida
2023-12-20,803451655.503501,Florida
2023-12-21,717840324.3242458,Florida
2023-12-22,753045716.6916685,Florida
2023-12-23,776001943.342196,Florida
2023-12-24,772027295.5531832,Florida
2023-12-25,777529138.1102885,Florida
2023-12-26,774079200.1321539,Florida
2023-12-27,829806625.2095088,Florida
